,comment,id,rating,Вопрос решен,Лишнее,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки
24,"Спасибо больше Ольге Птушкине, за проделанную работу! ",3882840,5,1,0,0,1,0,0
25,"всё сделали хорошо, починили вовремя. наверное, молодцы.",3883200,5,1,0,1,0,1,1
26,Супер! Спасибо!,3883549,5,0,0,0,0,0,1
27,Отлично! Все выполнили как и обещали!,3883658,5,1,0,0,0,0,1
28,Очень оперативно. Спасибо большое,3883736,5,0,0,0,0,1,1
29,"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.",3883745,5,1,0,1,1,1,1
30,Умело подкрутили редукторы давления. Молодец!,3884964,5,1,0,1,1,0,1
31,"все хорошо,дверь практически бесшумно закрывается",3885089,5,0,0,0,0,0,1
32,"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам",3886150,5,0,0,0,1,0,0
33,"быстро, чётко, без проблем. одно слово - мастер! ",3886231,5,0,0,1,1,1,0
34,Работает. Спасибо!,3886721,5,1,0,0,0,0,1
35,"сегодня ездил, все исправно работает, спасибо!",3886923,5,1,0,0,0,0,1
36,"Спасибо большое, всё понятно.",3886937,5,0,0,0,0,0,1
37,Татьяна спасибо ❤️,3887002,5,0,0,0,1,0,0
38,На вопрос ответили. Крепления нельзя повесить в колясочной,3887203,5,1,0,0,0,0,0
39,Лучший,3887353,5,0,0,0,0,0,1
40,спасибо за то что быстро отреагировали,3887392,5,0,0,0,0,1,0
41,"Сервис на высоте, мастер - профессионал",3887422,5,0,0,1,1,0,1
42,Надолго ли(,3887616,2,0,1,0,0,0,0
43,Спасибо. Все работает,3887743,5,1,0,0,0,0,1
44,"заявка выполнена, спасибо.",3887844,5,1,0,0,0,0,0
45,Дверь закрывается намного лучше.,3887922,5,1,0,0,0,0,1
46,Спасибо за быстрое реагирование!!!,3888009,5,0,0,0,0,1,0
47,"Оперативно сработали, благодарю.",3888318,5,0,0,0,0,1,0
48,"Спасибо сантехнику Алексею, все сделано качественно ",3888354,5,1,0,1,1,0,0
49,"Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!",3888539,5,1,0,0,1,1,1
50,Очень оперативно и никуда не пришлось ходить.,3888591,5,0,0,0,0,1,0
51,Проблема решена.,3888606,5,1,0,0,0,0,0
52,Очень оперативно отреагировали! Спасибо!,3888633,5,0,0,0,0,1,0
53,"оперативно, качественно, вопросов не возникло. Спасибо.",3888794,5,0,0,1,0,1,1
54,Быстро!,3888811,5,0,0,0,0,1,0
55,спасибо за оперативное решение проблемы.,3889213,5,1,0,0,0,1,0
56,Оперативная работа,3889473,1,0,1,0,0,0,0
57,"оперативное решение проблемы! 
",3889502,5,1,0,0,0,1,0
58,Первый раз вы решили вопрос быстро,3889542,5,1,0,0,0,1,0
59,Надолго ли,3889737,1,0,1,0,0,0,0
60,отлично спасибо,3889783,5,0,0,0,0,0,1
61,"спасибо большое, Татьяна.",3889827,5,0,0,0,1,0,0
62,Лучший мастер на свете 🥰Спасибо большое 🙏,3889956,5,0,0,0,1,0,0
63,"Спасибо большое, что починили домофон. ",3890030,5,1,0,0,0,0,1
64,Отличная работа,3890209,5,1,0,0,0,0,1
65,Спасибо огромное за помощь!,3890231,5,0,0,0,0,0,1
66,"обычная услуга. Цена, правда, завышена (за около 10ти минут работы). ",3890239,5,0,1,0,0,0,0
67,отличная работа. теперь дверь закрывается плавно. спасибо.,3890275,5,1,0,0,0,0,1
68,Все супер быстро! Спасибо!,3890393,5,0,0,0,0,1,0
69,Оперативно) спасибо,3890484,5,0,0,0,0,1,0
70,"Молодцы, оперативно. ",3890517,5,0,0,0,0,1,0
71,Вопрос решился быстро. Спасибо!,3890604,5,1,0,0,0,1,0
72,Спасибо 😉,3890656,5,0,0,0,0,0,1
73,Александру спасибо за объяснение причины бульканья !,3890678,5,0,0,0,1,0,0
74,спасибо! всё быстро!,3890716,5,0,0,0,0,1,0
75,Спасибо! Исправили мою ошибку,3890985,5,1,0,0,0,0,1
76,мастер сделал все очень быстро и аккуратно,3891095,5,0,0,1,1,1,0
77,Очень вежливый и профессиональный мастер. Устранил все недочеты оперативно и качественно. Просто отлично. Спасибо,3891325,5,1,0,1,1,1,1
78,"Иван, огромное спасибо вам ! ",3891380,5,0,0,0,1,0,0
79,Среагировали за 20 минут!!!!,3891477,5,0,0,0,0,1,0
80,"Спасибо специалисту Роману, который помог мне наконец-то решить мой вопрос! Очень грамотный и вежливый специалист) ",3891489,5,1,0,0,1,0,0
81,спасибо! в тот же день электрик решил проблему.,3891568,5,1,0,0,1,1,0
82,"Лифт и полы помыли , большое спасибо за уборку ! Ждём установку зеркал в лифтах",3891612,5,0,0,0,0,0,1
83,да все верно. спасибо,3891850,5,0,0,0,0,0,1
84,спасибо всё бистро устранили,3891871,5,1,0,0,0,1,0
85,"Спасибо, вроде бы стало лучше. ",3891943,4,0,0,0,0,0,1
86,Спасибо большое за Вашу быструю и профессиональную помощь.,3892115,5,0,0,1,0,1,1
87,"Все быстро, не смотря на поздний час.",3892189,5,0,0,0,0,1,0
88,ответ был предоставлен оперативно и в полном объеме,3892432,5,1,0,0,0,1,0
89,"Спасибо огромное,  напор стал отличным!",3892474,5,1,0,1,0,0,1
90,Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка),3892548,5,0,0,0,0,0,1
91,Спасибо мастеру Сергею за четкую работу!,3892591,5,0,0,0,1,0,1
92,"Наконец - то. Очень надеюсь, что через 2 дня он не встанет снова",3892629,4,0,1,0,0,0,0
93,"Благодарим, очень оперативно!",3892632,5,0,0,0,0,1,0
94,"Быстро, мастеру большое спасибо",3892659,5,0,0,0,1,1,0
95,"Вопрос решен быстро, спасибо мастеру. Фото выполненной работы приложил и даже позвонил!",3892748,5,1,0,0,1,1,0
96,главное что проблема решена! спасибо!,3892858,5,1,0,0,0,0,0
97,Спасибо.. все сделали быстро .. очень вежливые сотрудники.,3892909,5,1,0,0,1,1,0
98,"спасибо, что решили проблему оперативно ",3892910,5,1,0,0,0,1,0
99,"Оперативно, внимательно, вежливо. Спасибо. ",3893074,5,0,0,0,0,1,1
100,"Спасибо, всё оперативно сделали!",3893110,5,1,0,0,0,1,0
101,Была распечатана бумажная квитанция.Хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение Самолет+УК,3893437,5,0,0,0,1,0,0
102,"Заявка быстра принята в работу. Проблема решена. Спасибо! 
",3893476,5,1,0,0,0,1,0
103,Молодцы! Быстро! 😁,3893532,5,0,0,0,0,1,1
104,Спасибо большое за оперативность👍👍👍,3893735,5,0,0,0,0,1,0
105,"Спасибо большое,всех благ и процветание вашей компании ",3893860,5,0,0,0,0,0,1
106,спасибо электрику,3893967,5,0,0,0,1,0,0
107,всё грамотно по полочкам объяснил,3894064,5,0,0,0,1,0,0
108,благодарю за быстро и качественно оказанную услугу,3894130,5,0,0,1,0,1,1
109,Спасибо за оперативное решение вопроса!,3894191,5,1,0,0,0,1,0
110,"Огромное спасибо, быстро и качественно ",3894326,5,0,0,1,0,1,1
111,спасибо за ремонт!,3894440,5,1,0,0,0,0,1
112,благодарю менеджера Татьяну,3894680,5,0,0,0,1,0,0
113,благодарю менеджера,3894684,5,0,0,0,1,0,0
114,сотрудники молодцы!,3894714,5,0,0,0,1,0,0
115,Большое спасибо,3894890,5,0,0,0,0,0,1
116,оперативно и качественно! браво!,3894893,5,0,0,1,0,1,0
117,Спасибо огромное! Оперативно и качественно решили проблему!,3894902,5,1,0,1,0,1,1
118,"Поднималась сегодня с утра, запаха нет совсем. Спасибо большое ",3895042,5,0,0,0,0,0,1
119,"Специалист проконсультировал, сориентировал по срокам.",3895051,5,0,0,0,1,0,0
120,"спасибо, быстро и качественно. ",3895064,5,0,0,1,0,1,0
121,Спасибо за оперативность 💫💫💫,3895181,5,0,0,0,0,1,0
122,Все отлично! Спасибо,3895221,5,0,0,0,0,0,1
123,"Спасибо, большое!!!",3895423,5,0,0,0,0,0,1
124,Спасибо  большое !,3895493,5,0,0,0,0,0,1
125,Быстро и оперативно,3895519,5,0,0,0,0,1,0
126,все отлично,3895566,5,0,0,0,0,0,1
127,Оперативно. Пока работает,3895624,5,0,0,0,0,1,0
128,"Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением! ",3895634,5,0,0,0,1,1,0
129,Отличный сотрудник,3895794,5,0,0,0,1,0,0
130,Спасибо Мастеру Олегу!,3895805,5,0,0,0,1,0,0
131,"Для точной оценки нужно пережить зиму и понять, лучше стало или нет",3895874,5,0,1,0,0,0,0
132,"Спасибо большое за оперативность!)👍 Уже оценили песочек - очень хороший, чистый))) Дети были очень рады что в песочнице достаточное количество песка!)) 🤗",3895925,5,1,0,0,0,1,1
133,Быстро.Качественно.,3896179,5,0,0,1,0,1,0
134,Спасибо большое всё решили быстро!,3896191,5,1,0,0,0,1,1
135,"оперативно, быстро .",3896230,5,0,0,0,0,1,0
136,"оказали не только услугу по приобретению ключа,но ещё установили приложение УК Самолёт!!!",3896480,5,1,0,0,0,0,1
137,Приходил мастер все отрегулировал большое спасибо,3896509,5,1,0,0,1,0,1
138,"Парни (установщики) отработали на 5+, а вот упаковка не очень , тк не полный комплект фурнитуры (отсутствовали в комплекте нижняя ответка, пришлось колхозить и отпиливать кусок от старой ответки, а также шурупы отсутствовали)",3896735,5,0,0,0,1,0,0
139,Спасибо! Всё хорошо,3896818,5,0,0,0,0,0,1
140,Все ок,3896822,5,0,0,0,0,0,1
141,Сразу бы так,3896870,5,1,0,0,0,0,1
142," Ответ получен. 
Спасибо, что результатом стало уточнение и меня поняли. 
",3896928,5,1,0,0,0,0,1
143,"Благодарю за обратную связь. 
За возможность добавить необходимый документ в ЛК приложения и тем самым решить вопрос, не посещая клиентский офис. 
При звонке было вежливое, доброжелательное отношение. ",3896945,5,1,0,0,1,0,1
144,"Прислали на следующий день.
",3896981,5,1,0,0,0,1,0
145,Очень быстро отреагировали. Работа качественная!,3897000,5,0,0,1,0,1,0
146,Ну устранено,3897003,1,0,1,0,0,0,0
147,спасибо за подсказки и внимательное отношение,3897016,5,0,0,0,0,0,1
148,Сантехник связался сразу. Вопрос решен.,3897067,5,1,0,0,1,1,0
149,Спасибо технику),3897113,5,0,0,0,1,0,0
150,Благодарю.  Всё отлично 👍.,3897118,5,0,0,0,0,0,1
151,Сантехник был,3897201,5,0,0,0,1,0,0
152,подсказали куда обратиться для решения вопроса,3897252,5,1,0,0,0,0,0
153,Спасибо большое за информацию. Татьяна молодец!,3897281,5,0,0,0,1,0,0
154,"электрик пришёл в день обращения, снял показания, счеткик работает, сотрудник вежливый. благодарю. ",3897654,5,1,0,0,1,1,1
155,Все было сделано быстро и качественно.,3897741,5,1,0,1,0,1,1
156,"Напор стал гораздо сильнее, небо и земля. Быстро поняли причину слабого напора. Спасибо ",3897831,5,1,0,0,0,1,1
157,"Спасибо за вашу работу! Вычислить бы, кто вырвал предыдущий доводчик и наказать! А вам спасибо!",3898045,5,1,0,0,0,0,1
158,"да открыла спасибо
",3898232,5,1,0,0,0,0,0
159,"быстро позвонили, пришли все сделали,спасибо ",3898417,5,1,0,0,0,1,0
160,"Молодцы, очень оперативно!!!!! Прям минус одна головная боль ",3898427,5,0,0,0,0,1,0
161,"Очень быстро, качественно. Спасибо! 🤝",3898572,5,0,0,1,0,1,0
162,спасибо большое за разъяснения и за оперативность,3898709,5,0,0,0,0,1,1
163,"Спасибо 
",3898733,5,0,0,0,0,0,1
164,"сотрудники работают на 5+ ! мгновенно обрабатываются заявки, ответ поступает сразу и всё решается.отличный сервис, очень приятно)",3898761,5,0,0,0,1,1,1
165,Быстро и понятно,3898762,5,0,0,0,0,1,1
166,Спасибо за консультацию!,3898819,5,1,0,0,0,0,0
167,"Просто и удобно, а также быстро и экономия времени и ресурсов
.",3899012,5,0,0,0,0,1,1
168,Отлично!,3899166,5,0,0,0,0,0,1
169,Отлично все сделано 5 балов.,3899842,5,1,0,0,0,0,1
170,"четвёрка за то что выслали только со второго раза. 
нужную квитанцию! ",3899902,4,1,0,0,0,0,0
171,отлично👍👏😆,3900024,5,0,0,0,0,0,1
172,спс,3900150,5,0,0,0,0,0,1
173,"Спасибо большое, все получила ",3900408,5,1,0,0,0,0,1
174,"Спасибо ,очень оперативно ",3900525,5,0,0,0,0,1,0
175,"благодарю мастера, всё объяснил и дал рекомендации",3900539,5,1,0,0,1,0,0
176,Ребята молодцы,3900559,5,0,0,0,1,0,0
177,Спасибо за оперативное решение,3900602,5,0,0,0,0,1,0
178,"спасибо!
",3900686,5,0,0,0,0,0,1
179,"оперативно, спасибо",3900690,5,0,0,0,0,1,0
180,Большое спасибо мастеру!,3900869,5,0,0,0,1,0,0
181,"к оказанию самой услуги и сантехнику претензий нет. а вот, то что отключения происходят регулярно - крайне негативно сказывается на впечатление о компании Самолет УК",3900886,5,1,0,0,0,0,0
182,"Специалист компетентно объяснил, что необходимо сделать таких случаях! Игорь Золотухин 👍",3901101,5,0,0,0,1,0,0
183,Быстро и чётко,3901168,5,0,0,0,0,1,1
184,Всё хорошо,3901182,5,0,0,0,0,0,1
185,Владимир грамотно и здорово и быстро все сделал,3901194,5,1,0,1,1,1,0
186,Отличный сервис!,3901238,5,0,0,0,0,0,1
187,"Спасибо! Сервис работает, это самое главное :)",3901257,5,0,0,0,0,0,1
188,"Все отлично,позвонили,ответ предоставили ",3901356,5,1,0,0,0,0,1
189,Заявка была отработана в течение 5-ти минут.  Благодарю за оперативность!,3901414,5,0,0,0,0,1,0
190,"Все отлично, спасибо",3901433,5,0,0,0,0,0,1
191,Оперативное решение! Спасибо),3901446,5,1,0,0,0,1,0
192,"Татьяна оперативно решила вопрос,очень отзывчивая 👍",3901616,5,1,0,0,1,1,0
193,Все гуд,3901836,5,0,0,0,0,0,1
194,Все отлично.👍,3901932,5,0,0,0,0,0,1
195,"Поприветствовали, предложили присесть. Всё быстро оформили. Спасибо. ",3901987,5,1,0,0,1,1,0
196,"Спасибо что убрали надпись. Думал, будет аккуратнее ",3902000,4,1,0,0,0,0,0
197,все быстро и четко,3902088,5,0,0,0,0,1,1
198,"Добрый день! Заявка была выполнена качественно, сотрудники грамотные,очень вежливые, большое им спасибо! ",3902093,5,1,0,1,1,0,1
199,спасибо за помощь от подключившихся инженеров.,3902383,5,0,0,0,1,0,0
200,Замечательный мастер! Все очень оперативно и качественно. Добрый человек с золотыми руками! Огромное спасибо!!!,3902482,5,0,0,1,1,1,0
201,"Благодарю, хотя я уже давно просила и получаю на эл.почту, но почему-то ещё и бумажные получала.",3902496,5,1,0,0,0,0,0
202,Вопрос был решен оперативно) спасибо большое!,3902529,5,1,0,0,0,1,0
203,Все ок ) спасибо,3902632,5,0,0,0,0,0,1
204,"красавцы, быстро,  оперативно,  очень приятно в общении ",3902786,5,0,0,0,1,1,1
205,Хорошее обслуживание),3902795,5,0,0,0,1,0,0
206,Оперативно как всегда,3903272,5,0,0,0,0,1,0
207,"Большое спасибо , оперативно поставили ограничители ",3903349,5,1,0,0,0,1,0
208,"одну звезду сняла за то,что отличается цвет плитки)",3903374,4,0,1,0,0,0,0
209,спасибо! быстро и оперативно,3903406,5,0,0,0,0,1,0
210,"Горячая вода появилась.
",3903436,5,1,0,0,0,0,0
211,"Оперативно, спасибо
",3903453,5,0,0,0,0,1,0
212,Спасибо большое за оперативность 🙌🏻🌸,3903556,5,0,0,0,0,1,0
213,Вот теперь молодцы,3903607,5,0,0,0,0,0,1
214,все отлично бистро устранили мастер хороши,3903626,5,1,0,0,1,1,0
215,"спасибо, проблема была решена",3903666,5,1,0,0,0,0,0
216,"спасибо за оперативность и грамотный, развёрнутый ответ) 
",3903709,5,0,0,0,0,1,1
217,Спасибо большое! Заявка выполнена быстро и качественно!,3903741,5,1,0,1,0,1,1
218,Выполнено быстро и качественно!,3903997,5,1,0,1,0,1,0
219,Всё  понятно объяснили.,3904073,5,0,0,0,0,0,1
220,Большое спасибо Василию за проделанную работу!,3904265,5,1,0,0,1,0,1
221,"Благодарю, помогли, а то до Вас никто не мог решить эту проблему, еще раз спасибо)",3904421,5,1,0,0,0,0,1
222,"Очень оперативно менеджер связался, ответил на вопросы и отправил необходимые документы. Благодарю!",3904489,5,1,0,0,1,1,0
223,"быстро отреагировали, запустили",3904503,5,1,0,0,0,1,0
224,Спасибо. Оперативно приняли заявку и отремонтировали.Лифт работает исправно.,3904606,5,1,0,0,0,1,1
225,Оперативно и надежно),3904693,5,0,0,1,0,1,0
226,"Спасибо! Услуга оказана очень оперативно, удобный формат. Заказала ключ на выходных, в понедельник все было готово. Сотрудники вежливые и внимательные👍",3904847,5,1,0,0,1,1,1
227,"Все супер, Очень оперативно и профессионально, Спасибо ",3904911,5,0,0,1,0,1,1
228,Всё быстро и качественно!👍,3905059,5,0,0,1,0,1,0
229,"Тот кто  выполнял заявку, чудо! Оперативно выполнили. Спасибо 👍🏻",3905086,5,1,0,0,1,1,0
230,"спасибо,жду бумажные платежные поручения со следующего месяца ",3905337,5,0,1,0,0,0,0
231,"лучший мастер на свете, нужно ему выдать премию ",3905720,5,0,0,0,1,0,0
232,работает! Спасибо,3905785,5,1,0,0,0,0,1
233,"Спасибо электрику, оперативно пришёл! ",3905786,5,0,0,0,1,1,0
234,все отлично!,3905983,5,0,0,0,0,0,1
235,"Хотелось, что бы каждый месяц присылали квитанцию на почту или в приложении",3906032,5,0,1,0,0,0,0
236,"Большое спасибо электрику! Ситуация была не из простых, но он обнаружил проблему и смог ее решить ",3906048,5,1,0,0,1,0,0
237,"Сантехник молодец! Устранил утечку воды выше по этажу и в нас перестала течь вода. 
Молодец! 
",3906126,5,1,0,0,1,0,0
238,спасибо большое за работу и оперативность,3906380,5,0,0,0,0,1,1
239,"жалко, что при оплате счетов через банк, в приложении не отображается информация об оплате и приходится загружать квитанции дополнительно и подтверждать факт оплаты",3906407,4,0,1,0,0,0,0
240,Все быстро и качественно,3906535,5,0,0,1,0,1,0
241,"спасибо большое, жаль, что там уже опять намусорили(",3906752,5,1,0,0,0,0,0
242,"спасибо, теперь она закрывается ",3906789,5,1,0,0,0,0,1
243,"Можно было и сразу заявку выполнить. Не забываете что по периметру несколько контейнеров для пакетов. Пакеты кончаются быстро, значит хозяева убирают за собаками. ",3906922,3,0,1,0,0,0,0
244,"Спасибо большое за оперативность,мир и процветание вашей компании Самолет!",3906976,5,0,0,0,0,1,0
245,Выше похвал..,3907117,5,0,0,0,0,0,1
246,Благодарю за оперативность.,3907258,5,0,0,0,0,1,0
247,Спасибо..,3907305,5,0,0,0,0,0,1
248,"очень вежливая и грамотная сотрудница, побольше бы таких!",3907364,5,0,0,0,1,0,0
249,спасибо. прошу загружать квитанции в личный кабинет без дополнительных запросов.,3907480,5,0,1,0,0,0,0
250,все прекрасно,3907589,5,0,0,0,0,0,1
251,"все быстро и качественно, большое спасибо!",3907672,5,0,0,1,0,1,0
252,Консультация была проведена профессионально. Спасибо за разъяснения и рекомендации,3907792,5,1,0,0,1,0,0
253,"Спасибо большое, что починили дверь. Зашла без проблем. Дверь работает отлично. ",3907928,5,1,0,1,0,0,0
254,Огромное спасибо,3908000,5,0,0,0,0,0,1
255,Спасибо за работу,3908011,5,1,0,0,0,0,1
256,Быстро,3908377,5,0,0,0,0,1,0
257,Спасибо за быстрое решение вопроса. Лояльность мастера с подбором времени,3908429,5,1,0,0,1,1,0
258,"спасибо за обратную связь,надеюсь в приложении информация обновиться,что оплата прошла.


",3908490,4,0,1,0,0,0,0
259,спасибо за четкость и быстроту!,3908579,5,0,0,0,0,1,1
260,"Консультация и настройка прибора выполнена очень быстро, качественно и профессионально, спасибо! ",3908590,5,1,0,1,0,1,0
261,"мастер выполнил работу быстро и чисто, все отлично",3908772,5,1,0,0,1,1,1
262,Самая лучшая УК . Спасибо большое за помощь. За быструю работу и мгновенную выполнения!!!!,3908843,5,0,0,0,0,1,1
263,Очень быстро👍,3908929,5,0,0,0,0,1,0
264,спасибо за оперативный ответ😊👍,3909086,5,0,0,0,0,1,0
265,очень удобно получать электронную квитанцию.  Давно пора.,3909146,5,0,1,0,0,0,0
266,Оперативно выполнили заявку. Спасибо,3909271,5,0,0,0,0,1,0
267,спасибо специалисту.,3909398,5,0,0,0,1,0,0
268,"Жалко, что заранее не предупреждаете, что есть тех проблемы сейчас, как нам узнать - в новости можно написать такое. И нет такого раздела про формирование квитанций в заявках в УК, не сразу поняла, где написать ",3909430,4,0,1,0,0,0,0
269,Огромнейшее спасибо за оперативность❤️,3909441,5,0,0,0,0,1,0
270,Спасибо огромнейшее за оперативность ❤️,3909442,5,0,0,0,0,1,0
271,Благодарю за работу!,3909517,5,0,0,0,0,0,1
272,Все решили! Перезвонили . Спасибо,3909595,5,1,0,0,0,0,0
273,Очень быстро все сделали!!!!,3909682,5,1,0,0,0,1,0
274,Огромное Спасибо.,3909709,5,0,0,0,0,0,1
275,Все отлично.  Жаль что для сотрудников компании на данные услуги не действуют скидки.,3909787,5,0,0,0,0,0,1
276,очень быстро,3909810,5,0,0,0,0,1,0
277,"Очень приятный менеджер консультант , которая всё правильно и подробно объясняет.",3909863,5,0,0,0,1,0,0
278,Спасибо !!!!все супер,3909888,5,0,0,0,0,0,1
279,"Специалист пришёл очень быстро, все быстро исправил. Спасибо. ",3910052,5,1,0,0,1,1,0
280,"всё супер, вопрос решён быстро)",3910060,5,1,0,0,0,1,1
281,Очень надеюсь что квитанция будет дублироваться и в приложении. А так оперативно и быстро поступила.,3910089,5,0,0,0,0,1,0
282,спасибо большое за быстрое реагирование.,3910166,5,0,0,0,0,1,0
283,спасибо девочкам операторам!,3910233,5,0,0,0,1,0,0
284,"Менеджер Елизавета  очень быстро решила мой вопрос, спасибо!",3910259,5,1,0,0,1,1,0
285,"спасибо, но придумайте, пожалуйста, способ как этого избежать на будущее. ",3910269,5,0,0,0,0,0,1
286,"Спасибо за работу, выполнена качественно и в срок",3910346,5,1,0,1,0,1,1
287,Спасибо !!,3910395,5,0,0,0,0,0,1
288,Прям молодцы! Порадовали) все четко),3910406,5,0,0,0,0,0,1
289,Алексей профессионал в своем деле! Быстро нашел проблему и устранил ее. Огромное ему спасибо!,3910434,5,1,0,0,1,1,0
290,"Да, подтверждаю ! Вчера вечером обнаружила что устранено. Спасибо",3910685,5,1,0,0,0,0,0
291,вопрос решён,3910836,5,1,0,0,0,0,0
292,"Спасибо за помощь
",3910865,5,0,0,0,0,0,1
293,Спасибо! Очень быстро сработали!,3910908,5,0,0,0,0,1,0
294,Добрый день. Спасибо за разъяснение. Всего вам хорошего.,3910977,5,0,0,0,0,0,1
295,молодец электрик оперативно решил проблему,3911065,5,1,0,0,1,1,0
296,Быстро и аккуратно!Благодарю!,3911104,5,0,0,0,0,1,1
297,спасибо большое! пусть убирают часто....,3911134,5,0,0,0,0,0,1
298,все вежливо и информативно ❤️,3911182,5,0,0,0,0,0,1
299,Спасибо вам за заботу о нас и нашем здоровье.Экология -это замечательно,3911339,5,0,0,0,0,0,1
300,работа сотрудника офиса УК Евгении на 10+,3911355,5,0,0,0,1,0,0
301,спасибо за работу все быстро и качественно.,3911421,5,0,0,1,0,1,0
302,Спасибо большое! Проблема была решена очень быстро!,3911514,5,1,0,0,0,1,0
303,Менеджеру Наталье и дежурного  сантехнику 09.09.2024  большая благодарность  за оперативное решение проблемы.,3911553,5,0,0,0,1,1,0
304,Отлично!!!,3911561,5,0,0,0,0,0,1
305,Спасибо! оперативно и в полной мере ответили на мой вопрос 👌,3911570,5,0,0,0,0,1,1
306,"Быстро, качественно устранил наш засор ",3911586,5,1,0,1,0,1,1
307,"Спасибо, все качественно и профессионально!",3911663,5,0,0,1,0,0,1
308,Быстро и качественно. Спасибо!,3911763,5,0,0,1,0,1,1
309,"отличная функция, спасибо ",3911815,5,0,0,0,0,0,1
310,Спасибо за выполненную работу!,3911905,5,1,0,0,0,0,1
311,"очень оперативно, благодарю",3911957,5,0,0,0,0,1,0
312,"спасибо большое!
",3911972,5,0,0,0,0,0,1
313,"оперативно и четко. сделали аккуратно, прибрались после работы ",3911983,5,1,0,0,0,1,1
314,Спасибо Александру за профессионализм и быструю работу.,3912007,5,0,0,0,1,1,0
315,спасибо большое!!!🤗,3912041,5,0,0,0,0,0,1
316,"все отлично, сделали быстро и не дорого",3912121,5,1,0,0,0,1,1
317,Спасибо большое за оперативный ответ,3912185,5,0,0,0,0,1,0
318,Спасибо огромное менеджеру по страхованию Евгении Гущиной за помощь в оформлении страховки!!!! Настоящий профессионал своего дела!!! Исчерпывающе ответила на все интересующие вопросы!!!!,3912199,5,1,0,0,1,0,0
319,"Оперативно,профессионально,спасибо",3912225,5,0,0,1,0,1,1
320,"Специалист связывался по заявке, все починили! Спасибо ",3912227,5,1,0,0,1,0,0
321,"В течении 2 часов после создания заявки все устранили, спасибо",3912230,5,1,0,0,0,1,0
322,Ремонт выполнен!,3912246,5,1,0,0,0,0,0
323,Быстро решили проблему! Спасибо!,3912279,5,1,0,0,0,1,0
324,"Работа мастера, выполнена отлично! Проблема решилась только при личном визите в УК",3912521,5,1,0,0,1,0,0
325,Большое спасибо Оксане Петриной!,3912769,5,0,0,0,1,0,0
326,"Всё оперативно,спасибо!",3912975,5,0,0,0,0,1,0
327,Добрый день! Спасибо. Вопрос решен.,3913158,5,1,0,0,0,0,1
328,Все быстро и четко!!! Спасибо!,3913176,5,0,0,0,0,1,1
